0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:22 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:22 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:22 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:37 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:37 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:37 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:49:20 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:49:20 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:49:20 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:51:50 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:51:50 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:51:51 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:51:51 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:51:51 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
127.0.0.1 - - [11/Sep/2021:10:52:47 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2706
127.0.0.1 - - [11/Sep/2021:10:52:49 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 200 9769
